SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
0,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.10418551,0.10683667,1.1480744
0,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08691417,0.08621526,0.92294675
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.5,1.0,0.1,0.085416704,0.08489237,0.8932051
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.08558853,0.08487806,0.8141597
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.2142857142857142,1.0,0.1,0.08604177,0.08515364,0.79226345
0,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.085549116,0.084875196,0.7872663
1,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.104116924,0.09973086,0.91410154
1,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08285534,0.081995085,0.7774068
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.5,1.0,0.1,0.082125686,0.08074832,0.7422511
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0,1.0,0.1,0.082632706,0.08151641,0.7520077
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.082632706,0.08151641,0.73393667
1,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.082557045,0.08139291,0.6914776
2,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.083506465,0.091460824,1.389418
2,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.081378765,0.078405954,0.7878514
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.3,0.0,1.0,0.1,0.07860195,0.07729802,0.7679674
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0,1.0,0.1,0.08045249,0.077533185,0.78117913
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.08045249,0.077533185,0.7675482
2,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,1.0,1.0,0.1,0.08045249,0.077533185,0.76956517
3,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09179573,0.09070197,0.8510978
3,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08121964,0.08164951,0.8294968
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.3,0.0,1.0,0.1,0.07877958,0.079496145,0.76861745
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.080368444,0.080316454,0.67856926
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.0804518,0.080514096,0.7669168
3,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.08028166,0.08023114,0.7343111
4,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.117257304,0.118467465,0.9343219
4,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.086045705,0.0852186,0.8359869
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.3333333333333333,1.0,0.1,0.08416973,0.083705015,0.83496964
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.08488589,0.08422394,0.76382697
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.0853278,0.08423161,0.7838047
4,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.08491583,0.08412767,0.7388871
5,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09104641,0.09315594,0.9681992
5,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08026752,0.078857735,0.82498026
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.3,0.0,1.0,0.1,0.076998726,0.07633433,0.7840527
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.079660006,0.07824055,0.72793126
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.07973378,0.07822949,0.77373904
5,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.079517774,0.078038745,0.76396054
6,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.098649964,0.09807036,0.98312384
6,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08438552,0.08131693,0.8351757
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.3,0.0,1.0,0.1,0.08152524,0.079478234,0.77909523
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.082887605,0.08027702,0.7331967
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.08353744,0.080542006,0.78592765
6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.082985714,0.080219634,0.7362949
7,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09735224,0.09760791,0.9851951
7,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08822936,0.08807885,0.9026739
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.5,1.0,0.1,0.08631203,0.0867279,0.8222393
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.08719458,0.08694207,0.8005183
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.08729979,0.08713342,0.8116169
7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.08719953,0.08694254,0.7896972
8,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09460358,0.09433239,1.0338496
8,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.083896115,0.08256958,0.8293586
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.0,1.0,0.1,0.08164671,0.08212885,0.8451045
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.08296035,0.0818555,0.7716371
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.0833374,0.08194683,0.8077273
8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.08291758,0.081798516,0.79919064
9,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09384514,0.09360144,1.2636446
9,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.1,0.08331973,0.08329503,0.820618
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.2,0.5,1.0,0.1,0.0820369,0.08202699,0.7784711
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,1.1,0.0714285714285714,1.0,0.1,0.082602724,0.08228762,0.7346233
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,1.1,0.0,1.0,0.1,0.08286222,0.082440734,0.76213795
9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.1,0.9285714285714284,1.0,0.1,0.08256012,0.08223439,0.7361392
